status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,iteration
completed,23,11,50,"{""h"": 14, ""cx"": 11, ""y"": 8, ""barrier"": 6, ""sdg"": 4, ""s"": 4, ""measure"": 4, ""x"": 2, ""z"": 2, ""cz"": 1}",7,4,0,0,False,False,4,12,simulation,fixed_payload_experiments,"{""0000"": 1024}",1.0,14
completed,23,11,50,"{""h"": 12, ""cx"": 11, ""s"": 6, ""y"": 6, ""sdg"": 6, ""barrier"": 6, ""measure"": 4, ""x"": 2, ""z"": 2, ""cz"": 1}",7,4,0,0,False,False,4,12,simulation,fixed_payload_experiments,"{""0000"": 1024}",1.0,15
completed,23,11,50,"{""cx"": 11, ""h"": 10, ""x"": 8, ""y"": 8, ""barrier"": 6, ""measure"": 4, ""s"": 3, ""sdg"": 3, ""z"": 2, ""cz"": 1}",7,4,0,0,False,False,4,12,simulation,fixed_payload_experiments,"{""0000"": 1024}",1.0,16
completed,23,11,50,"{""h"": 14, ""z"": 12, ""cx"": 11, ""barrier"": 6, ""measure"": 4, ""sdg"": 3, ""s"": 3, ""y"": 2, ""cz"": 1}",7,4,0,0,False,False,4,12,simulation,fixed_payload_experiments,"{""0000"": 1024}",1.0,17
completed,23,11,50,"{""h"": 20, ""cx"": 11, ""barrier"": 6, ""s"": 5, ""sdg"": 5, ""measure"": 4, ""x"": 2, ""z"": 2, ""cz"": 1}",7,4,0,0,False,False,4,12,simulation,fixed_payload_experiments,"{""0000"": 1024}",1.0,18
completed,23,11,50,"{""cx"": 11, ""h"": 10, ""z"": 6, ""y"": 6, ""barrier"": 6, ""s"": 5, ""sdg"": 5, ""measure"": 4, ""x"": 2, ""cz"": 1}",7,4,0,0,False,False,4,12,simulation,fixed_payload_experiments,"{""0000"": 1024}",1.0,19
completed,23,11,50,"{""h"": 12, ""cx"": 11, ""sdg"": 7, ""s"": 7, ""z"": 6, ""barrier"": 6, ""measure"": 4, ""x"": 2, ""cz"": 1}",7,4,0,0,False,False,4,12,simulation,fixed_payload_experiments,"{""0000"": 1024}",1.0,20
completed,25,13,61,"{""h"": 20, ""cx"": 13, ""x"": 10, ""barrier"": 6, ""measure"": 5, ""z"": 4, ""sdg"": 3, ""s"": 3, ""y"": 2, ""cz"": 1}",8,5,0,0,False,False,5,15,simulation,fixed_payload_experiments,"{""00000"": 1024}",1.0,1
completed,25,13,61,"{""h"": 16, ""cx"": 13, ""s"": 7, ""sdg"": 7, ""z"": 6, ""barrier"": 6, ""measure"": 5, ""x"": 4, ""y"": 2, ""cz"": 1}",8,5,0,0,False,False,5,15,simulation,fixed_payload_experiments,"{""00000"": 1024}",1.0,2
completed,25,13,61,"{""h"": 16, ""cx"": 13, ""z"": 8, ""barrier"": 6, ""sdg"": 5, ""s"": 5, ""measure"": 5, ""y"": 4, ""x"": 4, ""cz"": 1}",8,5,0,0,False,False,5,15,simulation,fixed_payload_experiments,"{""00000"": 1024}",1.0,3
completed,25,13,61,"{""cx"": 13, ""h"": 12, ""s"": 7, ""sdg"": 7, ""x"": 6, ""y"": 6, ""barrier"": 6, ""measure"": 5, ""z"": 4, ""cz"": 1}",8,5,0,0,False,False,5,15,simulation,fixed_payload_experiments,"{""00000"": 1024}",1.0,4
completed,25,13,61,"{""h"": 14, ""cx"": 13, ""x"": 10, ""z"": 8, ""barrier"": 6, ""measure"": 5, ""y"": 4, ""s"": 3, ""sdg"": 3, ""cz"": 1}",8,5,0,0,False,False,5,15,simulation,fixed_payload_experiments,"{""00000"": 1024}",1.0,5
